epoch,train_loss,test_acc,ece
1,1.1750,0.2696,0.3576
2,0.9535,0.2769,0.3491
3,0.8718,0.2917,0.3191
4,0.8217,0.3038,0.3239
5,0.7647,0.2966,0.4353
6,0.7108,0.3663,0.2716
7,0.6653,0.3415,0.3470
8,0.6348,0.3585,0.4023
9,0.5941,0.4515,0.2132
10,0.5662,0.4372,0.2566
11,0.5376,0.4697,0.2330
12,0.5172,0.4563,0.2724
13,0.4852,0.4792,0.2627
14,0.4730,0.4765,0.2821
15,0.4492,0.4983,0.2275
16,0.4266,0.5199,0.2210
17,0.4143,0.5460,0.2042
18,0.3844,0.5198,0.2521
19,0.3646,0.5583,0.2076
20,0.3611,0.5394,0.2365
21,0.3388,0.5416,0.2333
22,0.3276,0.5687,0.2122
23,0.3104,0.5576,0.2342
24,0.3014,0.5602,0.2290
25,0.2836,0.5713,0.2266
26,0.2825,0.5754,0.2205
27,0.2865,0.5755,0.2212
28,0.2797,0.5736,0.2256
29,0.2702,0.5833,0.2102
30,0.2628,0.5766,0.2202
