epoch,train_loss,test_acc,ece
1,1.4137,0.5707,0.0472
2,0.9948,0.6071,0.1085
3,0.8289,0.6824,0.0678
4,0.7236,0.6839,0.0872
5,0.6607,0.7790,0.0273
6,0.6002,0.7768,0.0289
7,0.5651,0.7525,0.0762
8,0.5312,0.7905,0.0305
9,0.5041,0.8125,0.0256
10,0.4738,0.8047,0.0449
11,0.4538,0.8164,0.0362
12,0.4329,0.8137,0.0515
13,0.4122,0.8490,0.0224
14,0.3951,0.8325,0.0411
15,0.3742,0.8407,0.0341
16,0.3576,0.8370,0.0426
17,0.3430,0.8518,0.0326
18,0.3298,0.8637,0.0306
19,0.3148,0.8568,0.0281
20,0.3022,0.8634,0.0344
21,0.2917,0.8652,0.0350
22,0.2798,0.8738,0.0283
23,0.2691,0.8716,0.0337
24,0.2578,0.8754,0.0340
25,0.2556,0.8750,0.0340
26,0.2497,0.8803,0.0313
27,0.2405,0.8744,0.0364
28,0.2380,0.8776,0.0346
29,0.2360,0.8775,0.0357
30,0.2375,0.8790,0.0337
