epoch,train_loss,test_acc,ece
1,0.9558,0.5267,0.0427
2,0.6281,0.6461,0.0673
3,0.5106,0.6468,0.0401
4,0.4425,0.6583,0.0315
5,0.3976,0.7317,0.0832
6,0.3556,0.7270,0.0598
7,0.3293,0.7648,0.0673
8,0.3042,0.7697,0.0844
9,0.2855,0.7876,0.1053
10,0.2699,0.8030,0.1078
11,0.2498,0.7993,0.0847
12,0.2386,0.7890,0.0442
13,0.2238,0.8310,0.0885
14,0.2116,0.8172,0.0755
15,0.2013,0.8362,0.0767
16,0.1910,0.8287,0.0818
17,0.1774,0.8351,0.0776
18,0.1731,0.8564,0.0853
19,0.1623,0.8493,0.0892
20,0.1541,0.8457,0.0699
21,0.1459,0.8601,0.0753
22,0.1363,0.8650,0.0812
23,0.1320,0.8654,0.0728
24,0.1287,0.8650,0.0674
25,0.1259,0.8694,0.0692
26,0.1192,0.8702,0.0696
27,0.1162,0.8699,0.0643
28,0.1140,0.8705,0.0676
29,0.1136,0.8711,0.0662
30,0.1122,0.8728,0.0660
